EdgeRTUId,RTUCode,EdgeRTUName,StationName,RegionName,InputDate,Total_kW,Total_Kwh,MAIN_PUMP_MIN,CHLORINE_PUMP_MIN,MAIN_PUMP_ON_Count,CHLORINE_PUMP_ON_Count,TOTAL_MAIN_PUMP_MIN,TOTAL_CHLORINE_PUMP_MIN,Avg_Phase_Voltage,Avg_Power_Factor,Frequency,Total_kVA,Total_kVAr
13,861736076104923,Bhutnirghat I,BhutnirGhat,AlipurDuar,2026-06-26,10.611959952380952,36,719,735,3,2,286002,284359,245.75748815384608,0.9815266666666667,49.8945366511628,10.786010571428573,-0.03427038095238091
6,861736076116638,Bilsi I,Bilsi,Cooch Behar,2026-06-26,6.148821114285715,54,5,412,1,2,102396,230834,242.6939644821429,0.9603864,49.96937807142856,6.3988055428571435,-0.9721453714285714
3,868019069263896,Lotapata I,Lotapata,Cooch Behar,2026-06-26,0.9227164666666667,2,2,0,1,0,267409,0,226.3232932,0.9645187333333332,49.96671546666666,0.9575898000000002,0.23214106666666665
5,861736076080040,Lotapata II,Lotapata,Cooch Behar,2026-06-26,8.783505519999999,46,587,0,3,0,288440,0,234.67820116981136,0.92190816,49.96542367924527,9.52540972,3.634568160000001
2,861736076128187,Mora Nodir Kuthi I,Mora Nodir Kuthi,Cooch Behar,2026-06-26,7.843716624999999,27,523,584,1,1,267862,243238,245.72091681481493,0.948899375,49.96990655555558,8.2639878125,2.3228731875000004
